sampledate,site,time,depth,light_trt,par_out,par_in
2018-06-27T00:00:00Z,btl,2018-06-27T15:00:00Z,0.33,0,380,390
2018-06-27T00:00:00Z,btl,2018-06-27T15:00:00Z,0.33,1,330,230
2018-06-27T00:00:00Z,btl,2018-06-27T15:00:00Z,0.33,3,350,120
2018-06-27T00:00:00Z,btl,2018-06-27T15:00:00Z,0.33,5,300,110
2018-06-27T00:00:00Z,btl,2018-06-27T15:00:00Z,0.33,10,280,0
2018-06-27T00:00:00Z,btl,2018-06-27T15:05:00Z,0.33,0,330,340
2018-06-27T00:00:00Z,btl,2018-06-27T15:05:00Z,0.33,1,335,240
2018-06-27T00:00:00Z,btl,2018-06-27T15:05:00Z,0.33,3,380,150
2018-06-27T00:00:00Z,btl,2018-06-27T15:05:00Z,0.33,5,350,120
2018-06-27T00:00:00Z,btl,2018-06-27T15:05:00Z,0.33,10,330,0
2018-06-27T00:00:00Z,btl,2018-06-27T15:10:00Z,0.33,0,400,400
2018-06-27T00:00:00Z,btl,2018-06-27T15:10:00Z,0.33,1,450,360
2018-06-27T00:00:00Z,btl,2018-06-27T15:10:00Z,0.33,3,450,230
2018-06-27T00:00:00Z,btl,2018-06-27T15:10:00Z,0.33,5,440,130
2018-06-27T00:00:00Z,btl,2018-06-27T15:10:00Z,0.33,10,380,0
2018-07-06T00:00:00Z,btl,2018-07-06T15:15:00Z,0.33,7,1200,300
2018-07-06T00:00:00Z,btl,2018-07-06T15:15:00Z,0.33,7,1230,250
2018-07-06T00:00:00Z,btl,2018-07-06T15:15:00Z,0.33,7,1180,270
